,State,Service,Price,DateTime
2,SA1,ENERGY,70.12330625629949,2017/05/01 03:00:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 03:00:00
4,VIC1,ENERGY,66.2038465494189,2017/05/01 03:00:00
0,NSW1,ENERGY,87.35471293013622,2017/05/01 03:05:00
1,QLD1,ENERGY,80.88935797706019,2017/05/01 03:05:00
2,SA1,ENERGY,75.19436433785211,2017/05/01 03:05:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 03:05:00
4,VIC1,ENERGY,71.00104275286758,2017/05/01 03:05:00
0,NSW1,ENERGY,81.5147439370563,2017/05/01 03:10:00
1,QLD1,ENERGY,75.54223012444729,2017/05/01 03:10:00
2,SA1,ENERGY,70.51305492132043,2017/05/01 03:10:00
3,TAS1,ENERGY,227.38633152976433,2017/05/01 03:10:00
4,VIC1,ENERGY,66.2038465494189,2017/05/01 03:10:00
0,NSW1,ENERGY,79.96332299701733,2017/05/01 03:15:00
1,QLD1,ENERGY,73.55737260104908,2017/05/01 03:15:00
2,SA1,ENERGY,70.93066878535433,2017/05/01 03:15:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 03:15:00
4,VIC1,ENERGY,66.2038465494189,2017/05/01 03:15:00
0,NSW1,ENERGY,81.45708038671198,2017/05/01 03:20:00
1,QLD1,ENERGY,75.49827077033844,2017/05/01 03:20:00
2,SA1,ENERGY,70.93887806232642,2017/05/01 03:20:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 03:20:00
4,VIC1,ENERGY,66.2038465494189,2017/05/01 03:20:00
0,NSW1,ENERGY,80.75618026329322,2017/05/01 03:25:00
1,QLD1,ENERGY,74.86185319345876,2017/05/01 03:25:00
2,SA1,ENERGY,70.92451182762537,2017/05/01 03:25:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 03:25:00
4,VIC1,ENERGY,66.2038465494189,2017/05/01 03:25:00
0,NSW1,ENERGY,72.35245065474325,2017/05/01 03:30:00
1,QLD1,ENERGY,67.07457378935257,2017/05/01 03:30:00
2,SA1,ENERGY,63.71551267126864,2017/05/01 03:30:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 03:30:00
4,VIC1,ENERGY,59.83612725447124,2017/05/01 03:30:00
0,NSW1,ENERGY,72.42028317121654,2017/05/01 03:35:00
1,QLD1,ENERGY,67.07457378935268,2017/05/01 03:35:00
2,SA1,ENERGY,62.800716096642624,2017/05/01 03:35:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 03:35:00
4,VIC1,ENERGY,59.32289944566482,2017/05/01 03:35:00
0,NSW1,ENERGY,69.94823911499036,2017/05/01 03:40:00
1,QLD1,ENERGY,67.07457378935257,2017/05/01 03:40:00
2,SA1,ENERGY,59.594290916472,2017/05/01 03:40:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 03:40:00
4,VIC1,ENERGY,57.2971907439357,2017/05/01 03:40:00
0,NSW1,ENERGY,65.36167749328933,2017/05/01 03:45:00
1,QLD1,ENERGY,60.94362998141648,2017/05/01 03:45:00
2,SA1,ENERGY,54.88071389634522,2017/05/01 03:45:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 03:45:00
4,VIC1,ENERGY,53.065873539128646,2017/05/01 03:45:00
0,NSW1,ENERGY,69.94823911499036,2017/05/01 03:50:00
1,QLD1,ENERGY,67.07457378935257,2017/05/01 03:50:00
2,SA1,ENERGY,59.6006562062318,2017/05/01 03:50:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 03:50:00
4,VIC1,ENERGY,57.32349128184313,2017/05/01 03:50:00
0,NSW1,ENERGY,65.31249598389432,2017/05/01 03:55:00
1,QLD1,ENERGY,60.94362998141648,2017/05/01 03:55:00
2,SA1,ENERGY,54.85280171381383,2017/05/01 03:55:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 03:55:00
4,VIC1,ENERGY,53.04868743547397,2017/05/01 03:55:00
0,NSW1,ENERGY,102.82169284930653,2017/05/01 04:00:00
1,QLD1,ENERGY,98.66487269716416,2017/05/01 04:00:00
2,SA1,ENERGY,85.81006322914511,2017/05/01 04:00:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 04:00:00
