State,Service,Price,DateTime
TAS1,ENERGY,80.57206164,3/01/2017 1:50
VIC1,ENERGY,18.41248703,3/01/2017 1:50
NSW1,ENERGY,88.38514786,25/01/2017 8:15
QLD1,ENERGY,92.17552133,25/01/2017 8:15
SA1,ENERGY,123.1402377,25/01/2017 8:15
TAS1,ENERGY,85.24524121,25/01/2017 8:15
VIC1,ENERGY,84.50469239,25/01/2017 8:15
NSW1,ENERGY,69.94823911,15/01/2017 10:25
QLD1,ENERGY,98.99328859,15/01/2017 10:25
SA1,ENERGY,80.46488692,15/01/2017 10:25
TAS1,ENERGY,80.34311699,15/01/2017 10:25
VIC1,ENERGY,68.99918141,15/01/2017 10:25
NSW1,ENERGY,45.13172967,22/01/2017 3:15
QLD1,ENERGY,43.0745126,22/01/2017 3:15
SA1,ENERGY,38.17312101,22/01/2017 3:15
TAS1,ENERGY,85.24524121,22/01/2017 3:15
VIC1,ENERGY,34.95118044,22/01/2017 3:15
NSW1,ENERGY,71.33153508,7/01/2017 7:30
QLD1,ENERGY,67.98758024,7/01/2017 7:30
SA1,ENERGY,80.19377062,7/01/2017 7:30
TAS1,ENERGY,80.57206164,7/01/2017 7:30
VIC1,ENERGY,69.30317869,7/01/2017 7:30
NSW1,ENERGY,55.96167864,2/01/2017 12:00
QLD1,ENERGY,61.07056047,2/01/2017 12:00
SA1,ENERGY,24.08968401,2/01/2017 12:00
TAS1,ENERGY,80.57206164,2/01/2017 12:00
VIC1,ENERGY,26.09763128,2/01/2017 12:00
NSW1,ENERGY,76.76279448,15/01/2017 15:50
QLD1,ENERGY,98.69426752,15/01/2017 15:50
SA1,ENERGY,91.71018318,15/01/2017 15:50
TAS1,ENERGY,80.33034545,15/01/2017 15:50
VIC1,ENERGY,78.44258233,15/01/2017 15:50
NSW1,ENERGY,70.75323883,16/01/2017 19:05
QLD1,ENERGY,74.74081056,16/01/2017 19:05
SA1,ENERGY,278.8080808,16/01/2017 19:05
TAS1,ENERGY,83.77496755,16/01/2017 19:05
